adm2_code,year,phen_gup,phen_dor,yield
US29017,2018,91,276,158.64014
US29019,2018,95,296,141.94302
US29021,2018,108,297,153.91675
US29023,2018,100,281,155.21765
US29025,2018,96,308,94.997604
US29027,2018,94,291,153.10649
US29031,2018,97,281,154.4468
US29033,2018,126,284,163.68909
US29037,2018,98,301,149.41716
US29041,2018,116,286,142.33551
US29045,2018,111,291,152.19165
US29047,2018,109,297,138.85962
US29049,2018,100,305,141.97919
US29053,2018,89,296,141.17746
US29057,2018,69,286,107.79714
US29061,2018,107,297,138.66003
US29063,2018,99,307,138.26434
US29069,2018,94,277,170.22308
US29071,2018,109,291,155.75136
US29073,2018,104,289,144.9545
US29075,2018,109,298,136.6578
US29079,2018,103,300,131.01979
US29081,2018,109,297,131.91696
US29083,2018,79,305,140.10014
US29087,2018,131,280,173.12134
US29089,2018,110,289,150.60515
US29095,2018,99,296,136.14578
US29097,2018,69,281,121.128204
US29101,2018,84,306,135.56328
US29103,2018,106,298,141.76125
US29107,2018,107,293,151.76215
US29109,2018,68,286,111.61358
US29111,2018,104,297,142.16985
US29113,2018,94,296,137.4082
US29115,2018,94,305,132.30887
US29117,2018,110,297,138.33466
US29121,2018,108,297,147.2169
US29127,2018,105,294,148.24219
US29129,2018,105,305,145.71426
US29133,2018,87,273,162.95503
US29135,2018,92,299,137.1709
US29137,2018,104,294,155.44441
US29139,2018,100,296,141.04887
US29141,2018,79,309,136.23724
US29143,2018,109,283,169.46384
US29147,2018,116,293,146.26886
US29151,2018,115,286,153.59793
US29155,2018,118,279,167.56229
US29157,2018,99,286,159.8517
US29159,2018,86,301,142.95605
US29163,2018,98,295,140.7944
US29165,2018,112,295,151.51135
US29171,2018,100,313,157.52347
US29173,2018,100,293,160.97604
US29175,2018,95,300,144.93912
US29177,2018,121,287,143.58197
US29183,2018,126,277,161.31076
US29185,2018,63,287,132.03288
US29186,2018,101,287,156.78802
US29195,2018,111,289,165.72386
US29197,2018,103,307,139.06775
US29199,2018,106,296,138.40807
US29201,2018,83,275,160.0266
US29205,2018,104,294,170.0533
US29207,2018,108,278,175.5602
US29211,2018,102,304,140.20789
US29217,2018,82,296,113.23842
US29219,2018,114,287,159.37126
US29227,2018,112,296,146.90227
US31001,2018,136,284,206.97041
US31003,2018,137,292,195.17926
US31007,2018,94,292,96.7519
US31011,2018,138,292,195.16263
US31013,2018,110,297,164.07785
US31015,2018,103,303,157.2465
US31017,2018,131,302,191.54732
US31019,2018,132,292,195.15723
US31021,2018,142,285,187.42738
US31023,2018,136,285,192.3818
US31025,2018,131,286,181.61676
US31027,2018,137,293,190.35359
US31029,2018,132,292,165.49261
US31031,2018,118,300,163.0253
US31033,2018,116,297,110.04259
US31035,2018,136,284,205.36969
US31037,2018,132,289,186.78535
US31039,2018,134,289,202.4959
US31041,2018,129,299,178.9555
US31043,2018,139,287,195.54199
US31047,2018,130,297,199.53769
US31049,2018,127,296,124.284424
US31051,2018,138,293,193.34229
US31053,2018,142,286,185.65309
US31055,2018,128,290,167.52008
US31057,2018,128,289,150.84874
US31059,2018,138,282,196.63872
US31061,2018,131,288,181.40935
US31063,2018,111,288,149.54262
US31065,2018,96,289,130.9343
US31067,2018,117,287,149.15536
US31069,2018,115,303,126.28227
US31071,2018,115,305,166.38016
US31073,2018,128,291,170.13007
US31077,2018,129,297,189.60133
US31079,2018,134,287,199.53862
US31081,2018,137,286,201.2661
US31083,2018,115,289,162.66193
US31085,2018,122,290,144.65543
US31087,2018,97,284,113.0701
US31089,2018,130,294,187.19614
US31093,2018,121,296,187.06464
US31095,2018,123,285,169.59128
US31097,2018,119,290,137.78333
US31099,2018,141,285,198.66905
US31101,2018,129,295,154.58698
US31103,2018,119,303,164.32648
